3369141e-07,4736328e-07,8613281e-07,4531250e-07,2685547e-07,7543945e-08,4248047e-07,6699219e-07,2426758e-07,6091309e-08,3652344e-07,5839844e-07,2832031e-07,2636719e-07,2387695e-07,1630859e-07,2724609e-07,4296875e-07,6816406e-07,8632812e-07,1567383e-07,4687500e-07,4560547e-07,3154297e-07,3398438e-07,5136719e-07,4375000e-07,2172852e-07,3095703e-07,4501953e-07,4394531e-07,6152344e-07,2041016e-07,3339844e-07,1347656e-07,1145019e-07,2465820e-07,5468750e-07,4882812e-07,6328125e-07,6237793e-08,9082031e-07,7304688e-07,9121094e-07,6074219e-07,3027344e-08,1125335e-09,7519531e-08,1801758e-07,6713867e-08,6210938e-07,1992188e-07,7324219e-07,4687500e-07,2387695e-07,1865234e-07,9155273e-08,1386719e-07,5585938e-07,4531250e-07,6093750e-07,4091797e-07,3603516e-07,7617188e-07
2041016e-07,4794922e-07,8671875e-07,4619141e-07,2988281e-07,7617188e-08,2578125e-07,7109375e-07,1469727e-07,6164551e-08,3681641e-07,5957031e-07,3154297e-07,2656250e-07,1445312e-07,1733398e-07,1650391e-07,4355469e-07,6855469e-07,8808594e-07,1748047e-07,4726562e-07,2763672e-07,3349609e-07,2065430e-07,5195312e-07,4404297e-07,2216797e-07,3447266e-07,4541016e-07,2666016e-07,6523438e-07,1240234e-07,3388672e-07,1357422e-07,1169433e-07,2744141e-07,5507812e-07,2958984e-07,6718750e-07,3771973e-08,9179688e-07,7363281e-07,9316406e-07,6777344e-07,3051758e-08,6828307e-10,7983398e-08,1091308e-07,6787109e-08,6269531e-07,2031250e-07,8144531e-07,4726562e-07,1445312e-07,1977539e-07,5554199e-08,1406250e-07,5625000e-07,4619141e-07,6777344e-07,4121094e-07,2182617e-07,8085938e-07
1237793e-07,4833984e-07,5312500e-07,4677734e-07,3173828e-07,4663086e-08,1562500e-07,7363281e-07,8935547e-08,6213379e-08,2255859e-07,6015625e-07,3349609e-07,1630859e-07,8764648e-08,1796875e-07,1000976e-07,4384766e-07,4208984e-07,8906250e-07,1855469e-07,2890625e-07,1674805e-07,3466797e-07,1250000e-07,5234375e-07,2695312e-07,2241211e-07,3652344e-07,2783203e-07,1616211e-07,6757812e-07,7519531e-08,3408203e-07,8325195e-08,1184082e-07,2910156e-07,3378906e-07,1791992e-07,6953125e-07,2288818e-08,9257812e-07,4511719e-07,9433594e-07,7187500e-07,1867676e-08,4138946e-10,8251953e-08,6616211e-08,6835938e-08,3837891e-07,2055664e-07,8652344e-07,2890625e-07,8764648e-08,2050781e-07,3369141e-08,1416016e-07,3447266e-07,4677734e-07,7207031e-07,2529297e-07,1323242e-07,8378906e-07
7519531e-08,2958984e-07,3222656e-07,4716797e-07,3281250e-07,2832031e-08,9497070e-08,7519531e-07,5419922e-08,3808594e-08,1367188e-07,6074219e-07,3466797e-07,9887695e-08,5334473e-08,1831055e-07,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,7592773e-08,3212891e-07,1635742e-07,2260742e-07,3789062e-07,1684570e-07,9814453e-08,6894531e-07,4565430e-08,2089844e-07,5053711e-08,1193847e-07,3017578e-07,2050781e-07,1088867e-07,7109375e-07,1391601e-08,5664062e-07,2734375e-07,9511719e-07,7441406e-07,1132202e-08,2517700e-10,8422852e-08,4028320e-08,4187012e-08,2329102e-07,2070312e-07,8964844e-07,1752930e-07,5334473e-08,2094727e-07,2044678e-08,8691406e-08,2089844e-07,4716797e-07,7460938e-07,1533203e-07,8056641e-08,8535156e-07
00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,3283691e-08,2307129e-08,8300781e-08,3720703e-07,3544922e-07,5993652e-08,3234863e-08,1855469e-07,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,4614258e-08,1948242e-07,9936523e-08,1381836e-07,3867188e-07,1022949e-07,5957031e-08,6972656e-07,2770996e-08,1264648e-07,3063965e-08,7299805e-08,3076172e-07,1242675e-07,6616211e-08,7187500e-07,8422852e-09,3437500e-07,1660156e-07,5820312e-07,7597656e-07,6866455e-09,1525879e-10,8544922e-08,2441406e-08,2545166e-08,1411133e-07,1269531e-07,9140625e-07,1064453e-07,3234863e-08,2119141e-07,1239013e-08,5261230e-08,1269531e-07,2890625e-07,7617188e-07,9301758e-08,4882812e-08,8652344e-07
00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,1989746e-08,1400756e-08,5041504e-08,2255859e-07,3583984e-07,3637695e-08,1959229e-08,1870117e-07,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,2789307e-08,1181640e-07,6030273e-08,8398438e-08,3916016e-07,6213379e-08,3601074e-08,7031250e-07,1678467e-08,7690430e-08,1861572e-08,4431152e-08,3115234e-07,7543945e-08,4003906e-08,7246094e-07,5111694e-09,2084961e-07,1008300e-07,3535156e-07,7695312e-07,4165649e-09,9226798e-11,8593750e-08,1477050e-08,1541137e-08,8569336e-08,7690430e-08,9257812e-07,6469727e-08,1959229e-08,2133789e-07,7507324e-09,3186035e-08,7690430e-08,1752930e-07,7714844e-07,5651855e-08,2954102e-08,8710938e-07
00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,1208496e-08,8514404e-09,3057861e-08,1367188e-07,3613281e-07,2209473e-08,1187133e-08,1145019e-07,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,1690674e-08,7177734e-08,3649902e-08,5090332e-08,3945312e-07,3771973e-08,2185059e-08,4306641e-07,1016235e-08,4675293e-08,1129150e-08,2685547e-08,3144531e-07,4577637e-08,2429199e-08,4443359e-07,3105164e-09,1264648e-07,6115723e-08,2143555e-07,7753906e-07,2532959e-09,5602835e-11,5273438e-08,8972168e-09,9368896e-09,5200195e-08,4663086e-08,9335938e-07,3918457e-08,1187133e-08,1308594e-07,4562378e-09,1940918e-08,4675293e-08,1062011e-07,7773438e-07,3417969e-08,1794434e-08,5332031e-07
00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,7339478e-09,5157471e-09,1849365e-08,8300781e-08,2216797e-07,1336669e-08,7217407e-09,6933594e-08,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,1028442e-08,4357910e-08,2215576e-08,3094482e-08,2416992e-07,2282715e-08,1327514e-08,2617188e-07,6179810e-09,2832031e-08,6835938e-09,1629639e-08,1923828e-07,2770996e-08,1473999e-08,2695312e-07,2067388e-10,7690430e-08,3698730e-08,1298828e-07,4746094e-07,1533508e-09,3397464e-11,3198242e-08,5447388e-09,5676270e-09,3149414e-08,2838135e-08,5722656e-07,2374268e-08,7217407e-09,7934570e-08,2769470e-09,1174926e-08,2832031e-08,6445312e-08,4765625e-07,2075195e-08,1089477e-08,3232422e-07
00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,3128052e-09,1123046e-08,5041504e-08,1342773e-07,8117676e-09,00000000000,4211426e-08,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,2636719e-08,1342773e-08,1873779e-08,1464844e-07,1385498e-08,00000000000,1586914e-07,00000000000,1715088e-08,4150391e-09,9887695e-09,1166992e-07,1678467e-08,00000000000,1630859e-07,00000000000,4650879e-08,2246094e-08,7885742e-08,2880859e-07,9307860e-10,00000000000,1934814e-08,00000000000,3440857e-09,1910400e-08,1721191e-08,3466797e-07,1440429e-08,00000000000,4809570e-08,00000000000,7125854e-09,1715088e-08,3906250e-08,2880859e-07,1257324e-08,00000000000,1962891e-07
00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,2181829e-10,6820679e-09,3051758e-08,8129883e-08,4928589e-09,00000000000,2557373e-08,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,00000000000,1599121e-08,8148193e-09,1135253e-08,8886719e-08,8392334e-09,00000000000,9619141e-08,00000000000,1040649e-08,2517700e-09,5996704e-09,7080078e-08,1022338e-08,00000000000,9912109e-08,00000000000,2825928e-08,1364135e-08,4772949e-08,1748047e-07,5645751e-10,00000000000,1177978e-08,00000000000,2090454e-09,1159668e-08,1040649e-08,2104492e-07,8758545e-09,00000000000,2923584e-08,00000000000,4318237e-09,1043701e-08,2368164e-08,1748047e-07,7644653e-09,00000000000,1193847e-07
